기준일자,상품명,당일신규실행건수,당일신규실행금액(억원)
2019-05-24,취업후상환학자금_등록금,0,0
2019-05-24,일반상환학자금_등록금,0,0
2019-05-24,일반상환학자금_생활비,0,0
2019-05-24,취업후상환학자금_생활비,0,0
2019-05-25,취업후상환학자금_생활비,0,0
2019-05-25,취업후상환학자금_등록금,0,0
2019-05-25,일반상환학자금_생활비,0,0
2019-05-25,일반상환학자금_등록금,0,0
2019-05-26,일반상환학자금_등록금,0,0
2019-05-26,일반상환학자금_생활비,0,0
2019-05-26,취업후상환학자금_생활비,0,0
2019-05-26,취업후상환학자금_등록금,0,0
2019-05-27,일반상환학자금_등록금,0,0
2019-05-27,취업후상환학자금_등록금,0,0
2019-05-27,일반상환학자금_생활비,0,0
2019-05-27,취업후상환학자금_생활비,0,0
2019-05-28,일반상환학자금_등록금,0,0
2019-05-28,일반상환학자금_생활비,0,0
2019-05-28,취업후상환학자금_등록금,0,0
2019-05-28,취업후상환학자금_생활비,0,0
2019-05-29,취업후상환학자금_생활비,0,0
2019-05-29,취업후상환학자금_등록금,0,0
2019-05-29,일반상환학자금_등록금,0,0
2019-05-29,일반상환학자금_생활비,0,0
2019-05-30,일반상환학자금_등록금,0,0
2019-05-30,일반상환학자금_생활비,0,0
2019-05-30,취업후상환학자금_등록금,0,0
2019-05-30,취업후상환학자금_생활비,0,0
2019-05-31,취업후상환학자금_등록금,0,0
2019-05-31,일반상환학자금_생활비,0,0
2019-05-31,일반상환학자금_등록금,0,0
2019-05-31,취업후상환학자금_생활비,0,0
2019-06-01,일반상환학자금_등록금,0,0
2019-06-01,일반상환학자금_생활비,0,0
2019-06-01,취업후상환학자금_등록금,0,0
2019-06-01,취업후상환학자금_생활비,0,0
2019-06-02,일반상환학자금_등록금,0,0
2019-06-02,일반상환학자금_생활비,0,0
2019-06-02,취업후상환학자금_생활비,0,0
2019-06-02,취업후상환학자금_등록금,0,0
