"구분별","상태별","시점","인원[명]",
"여성","신규","2020. 07. 04","25",
"여성","신규","2020. 07. 05","29",
"여성","신규","2020. 07. 06","21",
"여성","신규","2020. 07. 07","23",
"여성","신규","2020. 07. 08","28",
"여성","신규","2020. 07. 09","21",
"여성","신규","2020. 07. 10","9",
"여성","신규","2020. 07. 11","13",
"여성","신규","2020. 07. 12","12",
"여성","신규","2020. 07. 13","23",
"여성","신규","2020. 07. 14","17",
"여성","신규","2020. 07. 15","6",
"여성","신규","2020. 07. 16","-6",
"여성","신규","2020. 07. 17","45",
"여성","신규","2020. 07. 18","16",
"여성","신규","2020. 07. 19","13",
"여성","신규","2020. 07. 20","7",
"여성","신규","2020. 07. 21","20",
"여성","신규","2020. 07. 22","24",
"여성","신규","2020. 07. 23","20",
"여성","신규","2020. 07. 24","18",
"여성","신규","2020. 07. 25","17",
"여성","신규","2020. 07. 26","9",
"여성","신규","2020. 07. 27","13",
"여성","신규","2020. 07. 28","6",
"여성","신규","2020. 07. 29","16",
"여성","신규","2020. 07. 30","5",
"여성","신규","2020. 07. 31","12",
"여성","신규","2020. 08. 01","8",
"여성","신규","2020. 08. 02","9",
"여성","신규","2020. 08. 03","8",
"여성","신규","2020. 08. 04","11",
"여성","신규","2020. 08. 05","10",
"여성","신규","2020. 08. 06","9",
"여성","신규","2020. 08. 07","7",
"여성","신규","2020. 08. 08","20",
"여성","신규","2020. 08. 09","19",
"여성","신규","2020. 08. 10","14",
